"","participant_id","nationality_interest","name_interest","age_interest","gender_interest","height_interest","weight_interest"
"1",1,"Extremely interested","Very interested","Moderately interested","Moderately interested","Moderately interested","Moderately interested"
"2",8,"Extremely interested","Extremely interested","Slightly interested","Not interested at all","Not interested at all","Not interested at all"
"3",24,"Moderately interested","Moderately interested","Slightly interested","Slightly interested","Slightly interested","Moderately interested"
"4",28,"Extremely interested","Slightly interested","Extremely interested","Very interested","Very interested","Very interested"
"5",29,"Very interested","Very interested","Moderately interested","Not interested at all","Slightly interested","Slightly interested"
"6",30,"Extremely interested","Extremely interested","Moderately interested","Not interested at all","Slightly interested","Slightly interested"
"7",39,"Very interested","Moderately interested","Very interested","Very interested","Moderately interested","Moderately interested"
"8",41,"Very interested","Very interested","Moderately interested","Very interested","Slightly interested","Slightly interested"
"9",42,"Moderately interested","Very interested","Not interested at all","Not interested at all","Not interested at all","Not interested at all"
"10",46,"Moderately interested","Moderately interested","Moderately interested","Moderately interested","Moderately interested","Moderately interested"
"11",50,"Extremely interested","Extremely interested","Extremely interested","Extremely interested","Extremely interested","Extremely interested"
"12",51,"Extremely interested","Extremely interested","Moderately interested","I do not know. / I did not understand the question.","Not interested at all","Not interested at all"
"13",52,"Extremely interested","Moderately interested","Slightly interested","Slightly interested","Moderately interested","Not interested at all"
"14",56,"Moderately interested","Not interested at all","Slightly interested","Not interested at all","Moderately interested","Not interested at all"
"15",57,"Very interested","Very interested","Not interested at all","Not interested at all","Not interested at all","Not interested at all"
"16",60,"Very interested","Very interested","Moderately interested","Slightly interested","Moderately interested","Slightly interested"
"17",64,"Extremely interested","Extremely interested","Slightly interested","Slightly interested","Slightly interested","Not interested at all"
"18",69,"Moderately interested","Moderately interested","Moderately interested","Moderately interested","Moderately interested","Moderately interested"
"19",70,"Moderately interested","Slightly interested","Moderately interested","Not interested at all","Moderately interested","Moderately interested"
"20",71,"Slightly interested","Very interested","Slightly interested","Slightly interested","Very interested","Very interested"
"21",72,"Extremely interested","Extremely interested","Extremely interested","Not interested at all","Moderately interested","Not interested at all"
"22",73,"Not interested at all","Extremely interested","Extremely interested","Not interested at all","Extremely interested","Extremely interested"
"23",74,"Slightly interested","Very interested","Slightly interested","Extremely interested","Not interested at all","I do not know. / I did not understand the question."
"24",75,"Moderately interested","Moderately interested","Slightly interested","Slightly interested","Not interested at all","Not interested at all"
"25",76,"Very interested","Very interested","Very interested","Slightly interested","Very interested","Very interested"
"26",78,"Very interested","Moderately interested","Very interested","Very interested","Very interested","Very interested"
"27",79,"Extremely interested","Extremely interested","Extremely interested","Not interested at all","Extremely interested","Extremely interested"
"28",81,"Moderately interested","Extremely interested","Moderately interested","Slightly interested","Extremely interested","Moderately interested"
"29",83,"Very interested","Very interested","Very interested","Very interested","Very interested","Very interested"
"30",84,"Moderately interested","Moderately interested","Very interested","Moderately interested","Very interested","Very interested"
"31",85,"Extremely interested","Extremely interested","Extremely interested","I do not know. / I did not understand the question.","Moderately interested","Moderately interested"
"32",88,"Extremely interested","Extremely interested","Extremely interested","Not interested at all","Moderately interested","Slightly interested"
"33",89,"Very interested","Very interested","Not interested at all","Not interested at all","Not interested at all","Not interested at all"
"34",91,"Very interested","Extremely interested","Very interested","Very interested","Very interested","Very interested"
"35",93,"Extremely interested","Extremely interested","Very interested","Not interested at all","Very interested","Very interested"
"36",95,"Very interested","Very interested","Not interested at all","Not interested at all","Not interested at all","Not interested at all"
"37",97,"Slightly interested","Very interested","Not interested at all","Not interested at all","Not interested at all","Not interested at all"
"38",98,"Very interested","Very interested","Not interested at all","Not interested at all","Not interested at all","Not interested at all"
"39",101,"Very interested","Extremely interested","Not interested at all","Not interested at all","Not interested at all","Not interested at all"
"40",102,"Very interested","Not interested at all","Not interested at all","Not interested at all","Not interested at all","Not interested at all"
"41",105,"Extremely interested","Extremely interested","Moderately interested","Not interested at all","Moderately interested","Moderately interested"
"42",107,"Very interested","Extremely interested","Very interested","Not interested at all","Slightly interested","Moderately interested"
"43",110,"Very interested","Very interested","Not interested at all","Not interested at all","Not interested at all","Not interested at all"
"44",114,"Very interested","Very interested","Very interested","Not interested at all","Very interested","Very interested"
"45",115,"Extremely interested","Extremely interested","Moderately interested","Moderately interested","Slightly interested","Slightly interested"
"46",119,"Moderately interested","Very interested","Extremely interested","Moderately interested","Very interested","Very interested"
"47",121,"Slightly interested","Slightly interested","Slightly interested","Not interested at all","Slightly interested","Slightly interested"
"48",123,"Extremely interested","Extremely interested","Extremely interested","Not interested at all","Not interested at all","Not interested at all"
"49",124,"Extremely interested","Very interested","Very interested","Not interested at all","Extremely interested","Extremely interested"
"50",126,"Moderately interested","Moderately interested","Not interested at all","Slightly interested","Not interested at all","Not interested at all"
"51",129,"Moderately interested","Very interested","Very interested","Slightly interested","Extremely interested","Extremely interested"
"52",131,"Moderately interested","Moderately interested","Moderately interested","Not interested at all","Moderately interested","Moderately interested"
"53",132,"Very interested","Extremely interested","Very interested","Slightly interested","Very interested","Slightly interested"
"54",134,"Extremely interested","Extremely interested","Extremely interested","Extremely interested","Moderately interested","Moderately interested"
"55",135,"Extremely interested","Extremely interested","Slightly interested","Not interested at all","Slightly interested","Not interested at all"
"56",140,"Extremely interested","Extremely interested","Moderately interested","Moderately interested","Not interested at all","Not interested at all"
"57",141,"Very interested","Extremely interested","Slightly interested","Not interested at all","Very interested","Very interested"
"58",142,"Moderately interested","Moderately interested","Moderately interested","Not interested at all","Moderately interested","Moderately interested"
"59",145,"Extremely interested","Slightly interested","Slightly interested","Not interested at all","Moderately interested","Slightly interested"
"60",147,"Very interested","Moderately interested","Very interested","Not interested at all","Very interested","Very interested"
"61",149,"Very interested","Slightly interested","Very interested","Moderately interested","Moderately interested","Moderately interested"
"62",153,"Moderately interested","Moderately interested","Very interested","Slightly interested","Moderately interested","Very interested"
"63",154,"Slightly interested","Very interested","Not interested at all","Not interested at all","Slightly interested","Slightly interested"
"64",160,"Very interested","Very interested","Not interested at all","Not interested at all","Not interested at all","Not interested at all"
"65",161,"Extremely interested","Extremely interested","Very interested","Very interested","Moderately interested","Not interested at all"
"66",162,"Not interested at all","Not interested at all","Slightly interested","Not interested at all","Slightly interested","Slightly interested"
"67",164,"Moderately interested","Moderately interested","Moderately interested","Moderately interested","Moderately interested","Moderately interested"
"68",165,"Very interested","Moderately interested","Not interested at all","Not interested at all","Not interested at all","Not interested at all"
"69",166,"Extremely interested","Very interested","Moderately interested","Not interested at all","Moderately interested","Slightly interested"
"70",169,"Very interested","Extremely interested","Slightly interested","Very interested","Moderately interested","Moderately interested"
"71",171,"Extremely interested","Very interested","Very interested","Extremely interested","Very interested","Slightly interested"
"72",174,"Extremely interested","Extremely interested","Extremely interested","Not interested at all","Extremely interested","Extremely interested"
"73",177,"Very interested","Very interested","Moderately interested","Not interested at all","Not interested at all","Not interested at all"
"74",178,"Extremely interested","Extremely interested","Very interested","Very interested","Extremely interested","Very interested"
"75",179,"Extremely interested","Extremely interested","Extremely interested","Slightly interested","Extremely interested","Extremely interested"
"76",181,"Extremely interested","Extremely interested","Very interested","Slightly interested","Moderately interested","Not interested at all"
"77",185,"Moderately interested","Extremely interested","Moderately interested","Not interested at all","Moderately interested","Moderately interested"
"78",186,"Moderately interested","Moderately interested","Slightly interested","Slightly interested","Moderately interested","Slightly interested"
"79",187,"Very interested","Very interested","Very interested","I do not know. / I did not understand the question.","Moderately interested","Moderately interested"
"80",190,"Very interested","Very interested","Moderately interested","Not interested at all","Not interested at all","Moderately interested"
