"","participant_id","elapsed_time_interest","lap_time_difference_to_other_swimmers_interest","average_lap_time_interest","current_lap_time_interest","lap_time_difference_to_a_record_interest"
"1",1,"Extremely interested","Very interested","Extremely interested","Very interested","Extremely interested"
"2",8,"Not interested at all","Not interested at all","Not interested at all","Not interested at all","Not interested at all"
"3",24,"Moderately interested","Moderately interested","Moderately interested","Moderately interested","Moderately interested"
"4",28,"Moderately interested","Very interested","Very interested","Very interested","Extremely interested"
"5",29,"Moderately interested","Slightly interested","Slightly interested","Moderately interested","Very interested"
"6",30,"Very interested","Very interested","Slightly interested","Slightly interested","Slightly interested"
"7",39,"Very interested","Very interested","Very interested","Very interested","Very interested"
"8",41,"Extremely interested","Moderately interested","Very interested","Very interested","Very interested"
"9",42,"Extremely interested","Very interested","Slightly interested","Slightly interested","Very interested"
"10",46,"Moderately interested","Moderately interested","Moderately interested","Moderately interested","Slightly interested"
"11",50,"Extremely interested","Extremely interested","Extremely interested","Extremely interested","Extremely interested"
"12",51,"Extremely interested","Very interested","Slightly interested","Extremely interested","Very interested"
"13",52,"Extremely interested","Very interested","Slightly interested","Extremely interested","Extremely interested"
"14",56,"Very interested","Moderately interested","Moderately interested","Very interested","Very interested"
"15",57,"Very interested","Not interested at all","Not interested at all","Not interested at all","Very interested"
"16",60,"Extremely interested","Very interested","Very interested","Very interested","Moderately interested"
"17",64,"Extremely interested","Extremely interested","Moderately interested","Extremely interested","Very interested"
"18",69,"Very interested","Slightly interested","Slightly interested","Moderately interested","Slightly interested"
"19",70,"Extremely interested","Extremely interested","Very interested","Extremely interested","Moderately interested"
"20",71,"Very interested","Very interested","Very interested","Very interested","Very interested"
"21",72,"I do not know. / I did not understand the question.","I do not know. / I did not understand the question.","I do not know. / I did not understand the question.","Extremely interested","Extremely interested"
"22",73,"Moderately interested","I do not know. / I did not understand the question.","I do not know. / I did not understand the question.","I do not know. / I did not understand the question.","I do not know. / I did not understand the question."
"23",74,"Extremely interested","Slightly interested","I do not know. / I did not understand the question.","I do not know. / I did not understand the question.","Very interested"
"24",75,"Very interested","Very interested","Moderately interested","Moderately interested","Very interested"
"25",76,"Very interested","Extremely interested","Not interested at all","Slightly interested","Very interested"
"26",78,"Slightly interested","Moderately interested","Slightly interested","Moderately interested","Moderately interested"
"27",79,"Extremely interested","Extremely interested","Extremely interested","Extremely interested","Extremely interested"
"28",81,"Very interested","Very interested","Slightly interested","Very interested","Very interested"
"29",83,"Slightly interested","Slightly interested","Slightly interested","Slightly interested","Slightly interested"
"30",84,"Extremely interested","Extremely interested","Extremely interested","Extremely interested","Extremely interested"
"31",85,"Extremely interested","Extremely interested","Extremely interested","Extremely interested","Extremely interested"
"32",88,"I do not know. / I did not understand the question.","Moderately interested","Not interested at all","Moderately interested","Slightly interested"
"33",89,"Slightly interested","Slightly interested","Very interested","Moderately interested","Very interested"
"34",91,"Very interested","Moderately interested","Very interested","Very interested","Very interested"
"35",93,"Extremely interested","Extremely interested","Moderately interested","Extremely interested","Extremely interested"
"36",95,"Very interested","Very interested","Moderately interested","Very interested","Very interested"
"37",97,"Extremely interested","Moderately interested","Slightly interested","Very interested","Very interested"
"38",98,"Very interested","Slightly interested","Slightly interested","Not interested at all","Moderately interested"
"39",101,"I do not know. / I did not understand the question.","Slightly interested","Slightly interested","Not interested at all","Slightly interested"
"40",102,"Slightly interested","Slightly interested","Slightly interested","Slightly interested","Slightly interested"
"41",105,"Extremely interested","Very interested","Slightly interested","Very interested","Slightly interested"
"42",107,"Extremely interested","Extremely interested","Extremely interested","Extremely interested","Very interested"
"43",110,"Very interested","Extremely interested","Moderately interested","Very interested","Very interested"
"44",114,"Very interested","Very interested","Moderately interested","Very interested","Moderately interested"
"45",115,"Extremely interested","Moderately interested","Slightly interested","Slightly interested","Very interested"
"46",119,"Moderately interested","Very interested","Slightly interested","Moderately interested","Very interested"
"47",121,"Very interested","Very interested","Very interested","Very interested","Very interested"
