"","participant_id","speed_difference_to_other_swimmers_interest","speed_differences_to_a_record_interest","current_speed","average_speed","history_of_speed","speed_related_events"
"1",1,"Extremely interested","Extremely interested","Very interested","Moderately interested","Very interested","Very interested"
"2",8,"Not interested at all","Not interested at all","Not interested at all","Not interested at all","Slightly interested","Slightly interested"
"3",24,"Very interested","Very interested","Very interested","Slightly interested","Slightly interested","Very interested"
"4",28,"Extremely interested","Extremely interested","Very interested","Not interested at all","Very interested","Moderately interested"
"5",29,"Moderately interested","Very interested","Moderately interested","Slightly interested","I do not know. / I did not understand the question.","Extremely interested"
"6",30,"Moderately interested","Very interested","Very interested","Slightly interested","Moderately interested","Very interested"
"7",39,"Very interested","Very interested","Very interested","Very interested","Very interested","Very interested"
"8",41,"Very interested","Slightly interested","Slightly interested","Slightly interested","Moderately interested","Very interested"
"9",42,"Not interested at all","Not interested at all","Not interested at all","Not interested at all","Not interested at all","Moderately interested"
"10",46,"Very interested","Very interested","Very interested","Very interested","Very interested","Very interested"
"11",50,"Extremely interested","Extremely interested","Extremely interested","Extremely interested","Extremely interested","Extremely interested"
"12",51,"Moderately interested","Slightly interested","Not interested at all","Not interested at all","Very interested","Very interested"
"13",52,"Moderately interested","Not interested at all","Moderately interested","Slightly interested","Not interested at all","Slightly interested"
"14",56,"Very interested","Very interested","Very interested","Moderately interested","Slightly interested","Not interested at all"
"15",57,"Not interested at all","Not interested at all","Not interested at all","Not interested at all","Not interested at all","Not interested at all"
"16",60,"Very interested","Very interested","Very interested","Moderately interested","Very interested","Very interested"
"17",64,"Extremely interested","Very interested","Very interested","Moderately interested","Very interested","Extremely interested"
"18",69,"Not interested at all","Not interested at all","Slightly interested","Not interested at all","Not interested at all","Not interested at all"
"19",70,"Not interested at all","Very interested","Not interested at all","Extremely interested","Extremely interested","Not interested at all"
"20",71,"Slightly interested","Slightly interested","Moderately interested","Not interested at all","Very interested","Not interested at all"
"21",72,"Not interested at all","Not interested at all","Not interested at all","Not interested at all","Not interested at all","Not interested at all"
"22",73,"Extremely interested","Extremely interested","Very interested","Extremely interested","Very interested","Very interested"
"23",74,"I do not know. / I did not understand the question.","Very interested","I do not know. / I did not understand the question.","Extremely interested","I do not know. / I did not understand the question.","Very interested"
"24",75,"Very interested","Very interested","Slightly interested","Slightly interested","Very interested","Moderately interested"
"25",76,"Extremely interested","Extremely interested","Moderately interested","Moderately interested","Extremely interested","Extremely interested"
"26",78,"Extremely interested","Very interested","Very interested","Slightly interested","Extremely interested","Extremely interested"
