"","participant_id","distance_swam","remaining_distance","distance_difference_to_leader","trace_of_movement","side_by_side_distance"
"1",1,"Moderately interested","Moderately interested","Very interested","Very interested","Slightly interested"
"2",8,"Not interested at all","Slightly interested","Extremely interested","Not interested at all","Not interested at all"
"3",24,"Slightly interested","Moderately interested","Very interested","Slightly interested","Not interested at all"
"4",28,"Slightly interested","Very interested","Extremely interested","Moderately interested","Not interested at all"
"5",29,"Moderately interested","Extremely interested","Extremely interested","Not interested at all","Not interested at all"
"6",30,"Moderately interested","Extremely interested","Extremely interested","Moderately interested","Extremely interested"
"7",39,"Very interested","Very interested","Very interested","Slightly interested","Not interested at all"
"8",41,"Slightly interested","Very interested","Very interested","Slightly interested","Not interested at all"
"9",42,"Moderately interested","Moderately interested","Slightly interested","Not interested at all","Not interested at all"
"10",46,"Very interested","Very interested","Very interested","Very interested","Very interested"
"11",50,"Extremely interested","Extremely interested","Extremely interested","Extremely interested","Extremely interested"
"12",51,"Not interested at all","Not interested at all","Not interested at all","Moderately interested","Slightly interested"
"13",52,"Slightly interested","Moderately interested","Slightly interested","Not interested at all","Not interested at all"
"14",56,"Moderately interested","Slightly interested","Very interested","Not interested at all","Not interested at all"
"15",57,"Not interested at all","Not interested at all","Very interested","Not interested at all","Not interested at all"
"16",60,"Moderately interested","Moderately interested","Moderately interested","Not interested at all","Not interested at all"
"17",64,"Slightly interested","Not interested at all","Moderately interested","Slightly interested","Not interested at all"
"18",69,"Not interested at all","Not interested at all","Not interested at all","Not interested at all","Not interested at all"
"19",70,"Not interested at all","Not interested at all","Slightly interested","I do not know. / I did not understand the question.","Slightly interested"
"20",71,"Moderately interested","Moderately interested","Very interested","Not interested at all","Slightly interested"
"21",72,"Not interested at all","Moderately interested","Very interested","Not interested at all","Not interested at all"
"22",73,"Extremely interested","Extremely interested","Extremely interested","Extremely interested","Not interested at all"
"23",74,"Moderately interested","Moderately interested","Slightly interested","Very interested","I do not know. / I did not understand the question."
"24",75,"Very interested","Very interested","Very interested","Moderately interested","Slightly interested"
"25",76,"Not interested at all","Extremely interested","Very interested","Extremely interested","Not interested at all"
"26",78,"Very interested","Very interested","Very interested","Slightly interested","Slightly interested"
"27",79,"Extremely interested","Extremely interested","Extremely interested","Not interested at all","Not interested at all"
"28",81,"Very interested","Extremely interested","Extremely interested","Moderately interested","Slightly interested"
"29",83,"Moderately interested","Moderately interested","Moderately interested","Moderately interested","Moderately interested"
"30",84,"Very interested","Extremely interested","Extremely interested","Extremely interested","Moderately interested"
"31",85,"Moderately interested","Moderately interested","Very interested","Slightly interested","Slightly interested"
"32",88,"Not interested at all","Not interested at all","Moderately interested","Not interested at all","Not interested at all"
"33",89,"Not interested at all","Very interested","Very interested","Moderately interested","Not interested at all"
"34",91,"Not interested at all","Very interested","Extremely interested","Moderately interested","Not interested at all"
"35",93,"Slightly interested","Slightly interested","Extremely interested","Not interested at all","Not interested at all"
