"","participant_id","distance_per_stroke","reaction_time","diving_distance","stroke_count"
"1",1,"Extremely interested","Extremely interested","Very interested","Very interested"
"2",8,"Not interested at all","Moderately interested","Not interested at all","Not interested at all"
"3",24,"Very interested","Very interested","Slightly interested","Slightly interested"
"4",28,"Extremely interested","Moderately interested","Very interested","I do not know. / I did not understand the question."
"5",29,"Very interested","Very interested","Moderately interested","Moderately interested"
"6",30,"Very interested","Very interested","Very interested","Very interested"
"7",39,"Very interested","Extremely interested","Extremely interested","Slightly interested"
"8",41,"Slightly interested","Moderately interested","Slightly interested","Moderately interested"
"9",42,"Very interested","Very interested","Moderately interested","Extremely interested"
"10",46,"Moderately interested","Moderately interested","Moderately interested","Moderately interested"
"11",50,"Extremely interested","Extremely interested","Extremely interested","Extremely interested"
"12",51,"Very interested","Very interested","Slightly interested","Extremely interested"
"13",52,"Very interested","Very interested","Very interested","Moderately interested"
"14",56,"Moderately interested","Not interested at all","Not interested at all","Slightly interested"
"15",57,"Not interested at all","Not interested at all","Moderately interested","Not interested at all"
"16",60,"Very interested","Very interested","Very interested","Moderately interested"
"17",64,"Extremely interested","Very interested","Extremely interested","Extremely interested"
"18",69,"Not interested at all","Slightly interested","Slightly interested","Not interested at all"
"19",70,"Extremely interested","Slightly interested","Moderately interested","Extremely interested"
"20",71,"Moderately interested","Moderately interested","Moderately interested","Moderately interested"
"21",72,"Moderately interested","Very interested","Extremely interested","Not interested at all"
"22",73,"Very interested","Extremely interested","Very interested","Very interested"
"23",74,"Slightly interested","Slightly interested","Slightly interested","Moderately interested"
"24",75,"Moderately interested","Extremely interested","Very interested","Very interested"
"25",76,"Extremely interested","Extremely interested","Extremely interested","Extremely interested"
"26",78,"Slightly interested","Very interested","Very interested","Slightly interested"
"27",79,"Extremely interested","Extremely interested","Extremely interested","Extremely interested"
"28",81,"Moderately interested","Extremely interested","Very interested","Moderately interested"
"29",83,"Not interested at all","Very interested","Very interested","Moderately interested"
"30",84,"Extremely interested","Extremely interested","Extremely interested","Extremely interested"
"31",85,"Moderately interested","Very interested","Very interested","Moderately interested"
"32",88,"Not interested at all","Moderately interested","Slightly interested","Moderately interested"
"33",89,"Extremely interested","Extremely interested","Extremely interested","Extremely interested"
"34",91,"Moderately interested","Very interested","Moderately interested","Moderately interested"
"35",93,"Extremely interested","Extremely interested","Very interested","Slightly interested"
"36",95,"Not interested at all","Very interested","Slightly interested","Moderately interested"
"37",97,"Very interested","Very interested","Very interested","Extremely interested"
"38",98,"Slightly interested","Very interested","Very interested","Very interested"
"39",101,"Moderately interested","Moderately interested","Very interested","Slightly interested"
"40",102,"Not interested at all","Moderately interested","Not interested at all","Not interested at all"
"41",105,"Very interested","Extremely interested","Very interested","Very interested"
"42",107,"Extremely interested","Extremely interested","Very interested","Extremely interested"
"43",110,"Extremely interested","Extremely interested","Extremely interested","Extremely interested"
"44",114,"Very interested","Very interested","Very interested","Very interested"
"45",115,"Extremely interested","Moderately interested","Extremely interested","Extremely interested"
"46",119,"Very interested","Moderately interested","Slightly interested","Slightly interested"
"47",121,"Moderately interested","Moderately interested","Moderately interested","Moderately interested"
"48",123,"Extremely interested","Extremely interested","Extremely interested","Not interested at all"
"49",124,"Extremely interested","Extremely interested","Extremely interested","Extremely interested"
"50",126,"Moderately interested","Very interested","Extremely interested","Slightly interested"
"51",129,"Very interested","Moderately interested","Very interested","Very interested"
"52",131,"Not interested at all","Moderately interested","Not interested at all","Not interested at all"
"53",132,"Extremely interested","Very interested","Extremely interested","Very interested"
"54",134,"Very interested","Very interested","Very interested","Very interested"
"55",135,"Extremely interested","Extremely interested","Extremely interested","Extremely interested"
"56",140,"Slightly interested","Slightly interested","Slightly interested","Not interested at all"
"57",141,"Very interested","Very interested","Very interested","Very interested"
"58",142,"Moderately interested","Slightly interested","Slightly interested","Slightly interested"
"59",145,"Moderately interested","Very interested","Very interested","Moderately interested"
"60",147,"Extremely interested","Extremely interested","Extremely interested","Very interested"
"61",149,"Slightly interested","Moderately interested","Not interested at all","Moderately interested"
"62",153,"Slightly interested","Moderately interested","Moderately interested","Moderately interested"
"63",154,"Extremely interested","Extremely interested","Very interested","Very interested"
"64",160,"Moderately interested","Very interested","Moderately interested","Moderately interested"
"65",161,"Not interested at all","Slightly interested","Moderately interested","Slightly interested"
"66",162,"Extremely interested","Extremely interested","Extremely interested","Extremely interested"
"67",164,"Extremely interested","Extremely interested","Extremely interested","Extremely interested"
"68",165,"Slightly interested","Moderately interested","Very interested","Not interested at all"
"69",166,"Extremely interested","Very interested","Very interested","Very interested"
"70",169,"Moderately interested","Very interested","Very interested","Slightly interested"
"71",171,"Moderately interested","Very interested","Slightly interested","Slightly interested"
"72",174,"Slightly interested","Slightly interested","Extremely interested","Moderately interested"
"73",177,"Extremely interested","Extremely interested","Extremely interested","Extremely interested"
"74",178,"Very interested","Extremely interested","Very interested","Very interested"
"75",179,"Extremely interested","Extremely interested","Extremely interested","Extremely interested"
"76",181,"Extremely interested","Extremely interested","Extremely interested","Extremely interested"
"77",185,"Very interested","Very interested","Very interested","Very interested"
"78",186,"Moderately interested","Moderately interested","Moderately interested","Moderately interested"
"79",187,"Slightly interested","Not interested at all","Moderately interested","Slightly interested"
"80",190,"Not interested at all","Moderately interested","Moderately interested","Not interested at all"
