"","participant_id","other_data_name_1","other_data_interest_1","other_data_name_2","other_data_interest_2","other_data_name_3","other_data_interest_3","other_data_name_4","other_data_interest_4","other_data_name_5","other_data_interest_5","other_data_name_6","other_data_interest_6","other_data_name_7","other_data_interest_7","other_data_name_8","other_data_interest_8","other_data_name_9","other_data_interest_9","other_data_name_10","other_data_interest_10","other_data_name_11","other_data_interest_11","other_data_name_12","other_data_interest_12","other_data_name_13","other_data_interest_13","other_data_name_14","other_data_interest_14","other_data_name_15","other_data_interest_15","other_data_name_16","other_data_interest_16","other_data_name_17","other_data_interest_17","other_data_name_18","other_data_interest_18","other_data_name_19","other_data_interest_19","other_data_name_20","other_data_interest_20"
"1",1,"heart beat","Very interested","breath","Slightly interetsed","","Did not select","","Did not select","","Did not select","","Did not select","","Did not select","","Did not select",NA,"Did not select",NA,"Did not select",NA,"Did not select",NA,"Did not select",NA,"Did not select",NA,"Did not select",NA,"Did not select",NA,"Did not select",NA,"Did not select",NA,"Did not select",NA,"Did not select",NA,"Did not select"
"2",8,"","Did not select","","Did not select","","Did not select","","Did not select","","Did not select","","Did not select","","Did not select","","Did not select",NA,"Did not select",NA,"Did not select",NA,"Did not select",NA,"Did not select",NA,"Did not select",NA,"Did not select",NA,"Did not select",NA,"Did not select",NA,"Did not select",NA,"Did not select",NA,"Did not select",NA,"Did not select"
"3",24,"","Did not select","","Did not select","","Did not select","","Did not select","","Did not select","","Did not select","","Did not select","","Did not select",NA,"Did not select",NA,"Did not select",NA,"Did not select",NA,"Did not select",NA,"Did not select",NA,"Did not select",NA,"Did not select",NA,"Did not select",NA,"Did not select",NA,"Did not select",NA,"Did not select",NA,"Did not select"
"4",28,"the winner record for every match in history","Extremely interested","","Did not select","","Did not select","","Did not select","","Did not select","","Did not select","","Did not select","","Did not select",NA,"Did not select",NA,"Did not select",NA,"Did not select",NA,"Did not select",NA,"Did not select",NA,"Did not select",NA,"Did not select",NA,"Did not select",NA,"Did not select",NA,"Did not select",NA,"Did not select",NA,"Did not select"
"5",29,"","Did not select","","Did not select","","Did not select","","Did not select","","Did not select","","Did not select","","Did not select","","Did not select",NA,"Did not select",NA,"Did not select",NA,"Did not select",NA,"Did not select",NA,"Did not select",NA,"Did not select",NA,"Did not select",NA,"Did not select",NA,"Did not select",NA,"Did not select",NA,"Did not select",NA,"Did not select"
"6",30,"The strokes used in each stage of the medley","Extremely interested","","Did not select","","Did not select","","Did not select","","Did not select","","Did not select","","Did not select","","Did not select",NA,"Did not select",NA,"Did not select",NA,"Did not select",NA,"Did not select",NA,"Did not select",NA,"Did not select",NA,"Did not select",NA,"Did not select",NA,"Did not select",NA,"Did not select",NA,"Did not select",NA,"Did not select"
"7",39,"","Did not select","","Did not select","","Did not select","","Did not select","","Did not select","","Did not select","","Did not select","","Did not select",NA,"Did not select",NA,"Did not select",NA,"Did not select",NA,"Did not select",NA,"Did not select",NA,"Did not select",NA,"Did not select",NA,"Did not select",NA,"Did not select",NA,"Did not select",NA,"Did not select",NA,"Did not select"
"8",41,"Improvement compared to PB","Very interested","Relevant doping history","Very interested","Strokes per lap","Slightly interetsed","","Did not select","","Did not select","","Did not select","","Did not select","","Did not select",NA,"Did not select",NA,"Did not select",NA,"Did not select",NA,"Did not select",NA,"Did not select",NA,"Did not select",NA,"Did not select",NA,"Did not select",NA,"Did not select",NA,"Did not select",NA,"Did not select",NA,"Did not select"
"9",42,"","Did not select","","Did not select","","Did not select","","Did not select","","Did not select","","Did not select","","Did not select","","Did not select",NA,"Did not select",NA,"Did not select",NA,"Did not select",NA,"Did not select",NA,"Did not select",NA,"Did not select",NA,"Did not select",NA,"Did not select",NA,"Did not select",NA,"Did not select",NA,"Did not select",NA,"Did not select"
"10",46,"","Did not select","","Did not select","","Did not select","","Did not select","","Did not select","","Did not select","","Did not select","","Did not select",NA,"Did not select",NA,"Did not select",NA,"Did not select",NA,"Did not select",NA,"Did not select",NA,"Did not select",NA,"Did not select",NA,"Did not select",NA,"Did not select",NA,"Did not select",NA,"Did not select",NA,"Did not select"
