"","participant_id","Date.submitted","Last.page","Start.language","Seed","Date.started","Date.last.action","Please.select.your.choice.below..Clicking.on.the..Yes..button.below.indicates.that..U.00A0...You.have.read.the.above.information..You.voluntarily.agree.to.participate.","participants_gender","participants_gender_other","participants_age_range","participants_living_region","participants_living_region_other","olympics_frequency","international_frequency","continental_frequency","national_frequency","regional_frequency","other_race_name_1","other_race_frequency_1","other_race_name_2","other_race_frequency_2","other_race_name_3","other_race_frequency_3","other_race_name_4","other_race_frequency_4","other_race_name_5","other_race_frequency_5","have_seen_moving_info","nationality_interest","name_interest","age_interest","gender_interest","height_interest","weight_interest","elapsed_time_interest","lap_time_difference_to_other_swimmers_interest","average_lap_time_interest","current_lap_time_interest","lap_time_difference_to_a_record_interest","speed_difference_to_other_swimmers_interest","speed_differences_to_a_record_interest","current_speed","average_speed","history_of_speed","speed_related_events","distance_swam","remaining_distance","distance_difference_to_leader","trace_of_movement","side_by_side_distance","world_record","competition_record","national_record","personal_record","distance_per_stroke","reaction_time","diving_distance","stroke_count","next_passing","record_break","winner","estimation_completion_time","social_media_followers","social_media_by_swimmer","sponsor","other_data_name_1","other_data_interest_1","other_data_name_2","other_data_interest_2","other_data_name_3","other_data_interest_3","other_data_name_4","other_data_interest_4","other_data_name_5","other_data_interest_5","other_data_name_6","other_data_interest_6","other_data_name_7","other_data_interest_7","other_data_name_8","other_data_interest_8","other_data_name_9","other_data_interest_9","other_data_name_10","other_data_interest_10","other_data_name_11","other_data_interest_11","other_data_name_12","other_data_interest_12","other_data_name_13","other_data_interest_13","other_data_name_14","other_data_interest_14","other_data_name_15","other_data_interest_15","other_data_name_16","other_data_interest_16","other_data_name_17","other_data_interest_17","other_data_name_18","other_data_interest_18","other_data_name_19","other_data_interest_19","other_data_name_20","other_data_interest_20","general_comment","Total.time","Group.time..Consent.Form","Question.time..ConsentFormAgree","Group.time..Demographic.Questions","Question.time..GenderIdentification","Question.time..AgeRange","Question.time..AreaLiving","Group.time..Familiarity.with.Swimming","Question.time..WatchingFrequency","Question.time..EventExtension","Group.time..Background.Introduction","Question.time..BackgroundQuestion","Group.time..Main.Task","Question.time..SwimmerMetadata","Question.time..TimeDetail","Question.time..SpeedDetail","Question.time..DistanceDetail","Question.time..RecordDetail","Question.time..TechniqueDetail","Question.time..PredictionDetail","Question.time..ExternalDetail","Group.time..Supplementary.Interesting.Data..Optional.","Question.time..Other","Group.time..General.Comment..Optional.","Question.time..GeneralComment"
"1",1,"2022-02-22 15:28:25",7,"en",656772708,"2022-02-22 15:24:33","2022-02-22 15:28:25","Yes","Woman",NA,"25-34","Europe",NA,"All races","Some races","Some races","Almost all races","No races / I don't follow this event.","","Did not select","","Did not select","","Did not select","","Did not select","","Did not select","Yes","Extremely interested","Very interested","Moderately interested","Moderately interested","Moderately interested","Moderately interested","Extremely interested","Very interested","Extremely interested","Very interested","Extremely interested","Extremely interested","Extremely interested","Very interested","Moderately interested","Very interested","Very interested","Moderately interested","Moderately interested","Very interested","Very interested","Slightly interested","Extremely interested","Extremely interested","Extremely interested","Extremely interested","Extremely interested","Extremely interested","Very interested","Very interested","Extremely interested","Extremely interested","Extremely interested","Extremely interested","Moderately interested","Slightly interested","Slightly interested","heart beat","Very interested","breath","Slightly interetsed","","Did not select","","Did not select","","Did not select","","Did not select","","Did not select","","Did not select",NA,"Did not select",NA,"Did not select",NA,"Did not select",NA,"Did not select",NA,"Did not select",NA,"Did not select",NA,"Did not select",NA,"Did not select",NA,"Did not select",NA,"Did not select",NA,"Did not select",NA,"Did not select","Super Clear",236.93,4.34,NA,6.07,NA,NA,NA,10.62,NA,NA,8.02,NA,143.39,NA,NA,NA,NA,NA,NA,NA,NA,44.92,NA,19.57,NA
"2",8,"2022-02-25 04:29:27",7,"en",1887220246,"2022-02-25 04:25:40","2022-02-25 04:29:27","Yes","Man",NA,"18-24","Asia",NA,"Some races","No races / I don't follow this event.","No races / I don't follow this event.","No races / I don't follow this event.","No races / I don't follow this event.","","Did not select","","Did not select","","Did not select","","Did not select","","Did not select","Yes","Extremely interested","Extremely interested","Slightly interested","Not interested at all","Not interested at all","Not interested at all","Not interested at all","Not interested at all","Not interested at all","Not interested at all","Not interested at all","Not interested at all","Not interested at all","Not interested at all","Not interested at all","Slightly interested","Slightly interested","Not interested at all","Slightly interested","Extremely interested","Not interested at all","Not interested at all","Extremely interested","Moderately interested","Not interested at all","Slightly interested","Not interested at all","Moderately interested","Not interested at all","Not interested at all","Moderately interested","Moderately interested","Extremely interested","Not interested at all","Not interested at all","Not interested at all","Not interested at all","","Did not select","","Did not select","","Did not select","","Did not select","","Did not select","","Did not select","","Did not select","","Did not select",NA,"Did not select",NA,"Did not select",NA,"Did not select",NA,"Did not select",NA,"Did not select",NA,"Did not select",NA,"Did not select",NA,"Did not select",NA,"Did not select",NA,"Did not select",NA,"Did not select",NA,"Did not select","",232.13,4.95,NA,14.57,NA,NA,NA,45.92,NA,NA,22.78,NA,116.62,NA,NA,NA,NA,NA,NA,NA,NA,19.84,NA,7.45,NA
"3",24,"2022-02-25 13:34:03",7,"en",1520481558,"2022-02-25 13:27:09","2022-02-25 13:34:03","Yes","Man",NA,"25-34","Asia",NA,"Some races","Some races","Some races","Some races","Some races","","Did not select","","Did not select","","Did not select","","Did not select","","Did not select","No","Moderately interested","Moderately interested","Slightly interested","Slightly interested","Slightly interested","Moderately interested","Moderately interested","Moderately interested","Moderately interested","Moderately interested","Moderately interested","Very interested","Very interested","Very interested","Slightly interested","Slightly interested","Very interested","Slightly interested","Moderately interested","Very interested","Slightly interested","Not interested at all","Very interested","Very interested","Moderately interested","Moderately interested","Very interested","Very interested","Slightly interested","Slightly interested","Moderately interested","Very interested","Very interested","Moderately interested","I do not know. / I did not understand the question.","Moderately interested","I do not know. / I did not understand the question.","","Did not select","","Did not select","","Did not select","","Did not select","","Did not select","","Did not select","","Did not select","","Did not select",NA,"Did not select",NA,"Did not select",NA,"Did not select",NA,"Did not select",NA,"Did not select",NA,"Did not select",NA,"Did not select",NA,"Did not select",NA,"Did not select",NA,"Did not select",NA,"Did not select",NA,"Did not select","",415.49,71.24,NA,15.39,NA,NA,NA,52.06,NA,NA,29.1,NA,158.3,NA,NA,NA,NA,NA,NA,NA,NA,62.27,NA,27.13,NA
"4",28,"2022-02-25 14:43:48",7,"en",1430866974,"2022-02-25 14:37:29","2022-02-25 14:43:48","Yes","Man",NA,"25-34","Europe",NA,"Almost all races","Some races","Some races","Some races","No races / I don't follow this event.","","Did not select","","Did not select","","Did not select","","Did not select","","Did not select","Yes","Extremely interested","Slightly interested","Extremely interested","Very interested","Very interested","Very interested","Moderately interested","Very interested","Very interested","Very interested","Extremely interested","Extremely interested","Extremely interested","Very interested","Not interested at all","Very interested","Moderately interested","Slightly interested","Very interested","Extremely interested","Moderately interested","Not interested at all","Extremely interested","Very interested","Slightly interested","Extremely interested","Extremely interested","Moderately interested","Very interested","I do not know. / I did not understand the question.","Slightly interested","Extremely interested","Extremely interested","Very interested","Not interested at all","Not interested at all","Not interested at all","the winner record for every match in history","Extremely interested","","Did not select","","Did not select","","Did not select","","Did not select","","Did not select","","Did not select","","Did not select",NA,"Did not select",NA,"Did not select",NA,"Did not select",NA,"Did not select",NA,"Did not select",NA,"Did not select",NA,"Did not select",NA,"Did not select",NA,"Did not select",NA,"Did not select",NA,"Did not select",NA,"Did not select","",382.89,183.09,NA,14.96,NA,NA,NA,44.73,NA,NA,9.09,NA,84.98,NA,NA,NA,NA,NA,NA,NA,NA,37.74,NA,8.3,NA
"5",29,"2022-02-25 14:50:20",7,"en",1343515990,"2022-02-25 14:42:04","2022-02-25 14:50:20","Yes","Man",NA,"25-34","Asia",NA,"Some races","No races / I don't follow this event.","Some races","No races / I don't follow this event.","No races / I don't follow this event.","","Did not select","","Did not select","","Did not select","","Did not select","","Did not select","Yes","Very interested","Very interested","Moderately interested","Not interested at all","Slightly interested","Slightly interested","Moderately interested","Slightly interested","Slightly interested","Moderately interested","Very interested","Moderately interested","Very interested","Moderately interested","Slightly interested","I do not know. / I did not understand the question.","Extremely interested","Moderately interested","Extremely interested","Extremely interested","Not interested at all","Not interested at all","Extremely interested","Very interested","Slightly interested","Very interested","Very interested","Very interested","Moderately interested","Moderately interested","Very interested","Extremely interested","Extremely interested","Very interested","Not interested at all","Moderately interested","Slightly interested","","Did not select","","Did not select","","Did not select","","Did not select","","Did not select","","Did not select","","Did not select","","Did not select",NA,"Did not select",NA,"Did not select",NA,"Did not select",NA,"Did not select",NA,"Did not select",NA,"Did not select",NA,"Did not select",NA,"Did not select",NA,"Did not select",NA,"Did not select",NA,"Did not select",NA,"Did not select","",500.1,9.26,NA,7.41,NA,NA,NA,17.85,NA,NA,59.89,NA,383.75,NA,NA,NA,NA,NA,NA,NA,NA,18.28,NA,3.66,NA
"6",30,"2022-02-25 15:02:02",7,"en",1130570594,"2022-02-25 14:51:53","2022-02-25 15:02:02","Yes","Man",NA,"18-24","Asia",NA,"Almost all races","Some races","No races / I don't follow this event.","Some races","No races / I don't follow this event.","","Did not select","","Did not select","","Did not select","","Did not select","","Did not select","Yes","Extremely interested","Extremely interested","Moderately interested","Not interested at all","Slightly interested","Slightly interested","Very interested","Very interested","Slightly interested","Slightly interested","Slightly interested","Moderately interested","Very interested","Very interested","Slightly interested","Moderately interested","Very interested","Moderately interested","Extremely interested","Extremely interested","Moderately interested","Extremely interested","Moderately interested","Moderately interested","Slightly interested","Slightly interested","Very interested","Very interested","Very interested","Very interested","Moderately interested","Very interested","Extremely interested","Not interested at all","Not interested at all","Not interested at all","Not interested at all","The strokes used in each stage of the medley","Extremely interested","","Did not select","","Did not select","","Did not select","","Did not select","","Did not select","","Did not select","","Did not select",NA,"Did not select",NA,"Did not select",NA,"Did not select",NA,"Did not select",NA,"Did not select",NA,"Did not select",NA,"Did not select",NA,"Did not select",NA,"Did not select",NA,"Did not select",NA,"Did not select",NA,"Did not select","",611.1,59.07,NA,51.97,NA,NA,NA,39.18,NA,NA,40.5,NA,174.87,NA,NA,NA,NA,NA,NA,NA,NA,239.03,NA,6.48,NA
"7",39,"2022-03-08 13:49:48",7,"en",282235566,"2022-03-08 13:42:41","2022-03-08 13:49:48","Yes","Woman",NA,"25-34","Asia",NA,"No races / I don't follow this event.","No races / I don't follow this event.","No races / I don't follow this event.","No races / I don't follow this event.","No races / I don't follow this event.","","Did not select","","Did not select","","Did not select","","Did not select","","Did not select","Yes","Very interested","Moderately interested","Very interested","Very interested","Moderately interested","Moderately interested","Very interested","Very interested","Very interested","Very interested","Very interested","Very interested","Very interested","Very interested","Very interested","Very interested","Very interested","Very interested","Very interested","Very interested","Slightly interested","Not interested at all","Not interested at all","Very interested","Not interested at all","Very interested","Very interested","Extremely interested","Extremely interested","Slightly interested","Very interested","Very interested","Very interested","Very interested","Not interested at all","Not interested at all","Not interested at all","","Did not select","","Did not select","","Did not select","","Did not select","","Did not select","","Did not select","","Did not select","","Did not select",NA,"Did not select",NA,"Did not select",NA,"Did not select",NA,"Did not select",NA,"Did not select",NA,"Did not select",NA,"Did not select",NA,"Did not select",NA,"Did not select",NA,"Did not select",NA,"Did not select",NA,"Did not select","",430.1,11.57,NA,15.04,NA,NA,NA,30.12,NA,NA,34.76,NA,321.67,NA,NA,NA,NA,NA,NA,NA,NA,13.07,NA,3.87,NA
"8",41,"2022-04-15 10:43:16",7,"en",1068433393,"2022-04-15 10:35:15","2022-04-15 10:43:16","Yes","Man",NA,"35-44","Europe",NA,"Some races","No races / I don't follow this event.","No races / I don't follow this event.","No races / I don't follow this event.","No races / I don't follow this event.","","Did not select","","Did not select","","Did not select","","Did not select","","Did not select","Yes","Very interested","Very interested","Moderately interested","Very interested","Slightly interested","Slightly interested","Extremely interested","Moderately interested","Very interested","Very interested","Very interested","Very interested","Slightly interested","Slightly interested","Slightly interested","Moderately interested","Very interested","Slightly interested","Very interested","Very interested","Slightly interested","Not interested at all","Very interested","Moderately interested","Very interested","Moderately interested","Slightly interested","Moderately interested","Slightly interested","Moderately interested","Moderately interested","Moderately interested","Very interested","Very interested","Not interested at all","Not interested at all","Not interested at all","Improvement compared to PB","Very interested","Relevant doping history","Very interested","Strokes per lap","Slightly interetsed","","Did not select","","Did not select","","Did not select","","Did not select","","Did not select",NA,"Did not select",NA,"Did not select",NA,"Did not select",NA,"Did not select",NA,"Did not select",NA,"Did not select",NA,"Did not select",NA,"Did not select",NA,"Did not select",NA,"Did not select",NA,"Did not select",NA,"Did not select","",483.92,17.38,NA,15.71,NA,NA,NA,21.09,NA,NA,23.14,NA,225.42,NA,NA,NA,NA,NA,NA,NA,NA,166.03,NA,15.15,NA
"9",42,"2022-04-15 10:55:47",7,"en",894041753,"2022-04-15 10:51:39","2022-04-15 10:55:47","Yes","Man",NA,"35-44","Europe",NA,"Some races","Some races","No races / I don't follow this event.","No races / I don't follow this event.","No races / I don't follow this event.","Olympic","Some races","","Did not select","","Did not select","","Did not select","","Did not select","Yes","Moderately interested","Very interested","Not interested at all","Not interested at all","Not interested at all","Not interested at all","Extremely interested","Very interested","Slightly interested","Slightly interested","Very interested","Not interested at all","Not interested at all","Not interested at all","Not interested at all","Not interested at all","Moderately interested","Moderately interested","Moderately interested","Slightly interested","Not interested at all","Not interested at all","Very interested","Slightly interested","Not interested at all","Moderately interested","Very interested","Very interested","Moderately interested","Extremely interested","Slightly interested","Very interested","Very interested","Extremely interested","Not interested at all","Not interested at all","Not interested at all","","Did not select","","Did not select","","Did not select","","Did not select","","Did not select","","Did not select","","Did not select","","Did not select",NA,"Did not select",NA,"Did not select",NA,"Did not select",NA,"Did not select",NA,"Did not select",NA,"Did not select",NA,"Did not select",NA,"Did not select",NA,"Did not select",NA,"Did not select",NA,"Did not select",NA,"Did not select","",251.4,9.91,NA,10.69,NA,NA,NA,52.59,NA,NA,36.65,NA,129.54,NA,NA,NA,NA,NA,NA,NA,NA,8.01,NA,4.01,NA
"10",46,"2022-04-15 13:58:55",7,"en",2097694636,"2022-04-15 13:52:16","2022-04-15 13:58:55","Yes","Man",NA,"25-34","Europe",NA,"Some races","Almost all races","Almost all races","Almost all races","Almost all races","","Did not select","","Did not select","","Did not select","","Did not select","","Did not select","Yes","Moderately interested","Moderately interested","Moderately interested","Moderately interested","Moderately interested","Moderately interested","Moderately interested","Moderately interested","Moderately interested","Moderately interested","Slightly interested","Very interested","Very interested","Very interested","Very interested","Very interested","Very interested","Very interested","Very interested","Very interested","Very interested","Very interested","Very interested","Very interested","Very interested","Very interested","Moderately interested","Moderately interested","Moderately interested","Moderately interested","Moderately interested","Moderately interested","Moderately interested","Moderately interested","Slightly interested","Slightly interested","Slightly interested","","Did not select","","Did not select","","Did not select","","Did not select","","Did not select","","Did not select","","Did not select","","Did not select",NA,"Did not select",NA,"Did not select",NA,"Did not select",NA,"Did not select",NA,"Did not select",NA,"Did not select",NA,"Did not select",NA,"Did not select",NA,"Did not select",NA,"Did not select",NA,"Did not select",NA,"Did not select","",402.38,14.6,NA,21.45,NA,NA,NA,268.55,NA,NA,28.19,NA,58.13,NA,NA,NA,NA,NA,NA,NA,NA,7.59,NA,3.87,NA
