"","nationality_interest","name_interest","age_interest","gender_interest","height_interest","weight_interest","elapsed_time_interest","lap_time_difference_to_other_swimmers_interest","average_lap_time_interest","current_lap_time_interest","lap_time_difference_to_a_record_interest","speed_difference_to_other_swimmers_interest","speed_differences_to_a_record_interest","current_speed","average_speed","history_of_speed","speed_related_events","distance_swam","remaining_distance","distance_difference_to_leader","trace_of_movement","side_by_side_distance","world_record","competition_record","national_record","personal_record","distance_per_stroke","reaction_time","diving_distance","stroke_count","next_passing","record_break","winner","estimation_completion_time","social_media_followers","social_media_by_swimmer","sponsor","watching_frequency_grade"
"nationality_interest",1,0.45,0.33,0.07,0.09,-0.03,-0.08,0.12,0.05,0.17,0.13,0.14,0.01,0.03,-0.23,0.01,-0.02,-0.08,0.02,0.04,-0.21,-0.19,0.15,0.09,0.05,0.17,0.07,0.12,0.18,-0.05,-0.07,-0.05,0.13,-0.06,0.04,-0.11,0.14,0.02
"name_interest",0.45,1,0.3,0.01,0.13,0.08,0.07,0.15,-0.09,0.01,0.11,0.14,0,0.04,-0.01,0.08,0.2,-0.03,0.15,0.14,0.1,-0.12,0.36,0.12,0.13,0.13,0.14,0.26,0.29,0.21,0.02,-0.15,-0.03,0.1,0,-0.05,0.06,0.16
"age_interest",0.33,0.3,1,0.29,0.7,0.64,-0.12,0.2,0.17,0.19,0.03,0.4,0.34,0.21,0.24,0.34,0.12,0.27,0.34,0.25,0.12,-0.02,0.25,0.4,0.24,0.38,0.17,0.12,0.19,0.01,0.1,0.11,0.17,0.29,0.18,0.14,0.13,0.14
"gender_interest",0.07,0.01,0.29,1,0.29,0.2,0.08,0.03,0.13,-0.07,0.09,0.17,0.15,-0.01,0.16,0.07,0.12,0.22,0.19,-0.02,0.11,-0.11,0.04,0.2,0.1,0.09,-0.07,-0.01,-0.04,-0.11,-0.03,-0.07,-0.09,0.19,0.19,0.25,0.1,0.11
"height_interest",0.09,0.13,0.7,0.29,1,0.85,-0.01,0.21,0.13,0.17,0.12,0.3,0.28,0.28,0.28,0.27,0.1,0.31,0.3,0.15,0.11,0.12,0.28,0.24,0.26,0.34,0.23,0.16,0.23,0.14,0.13,0.17,0.15,0.2,0.25,0.17,0.06,0.27
"weight_interest",-0.03,0.08,0.64,0.2,0.85,1,0.01,0.26,0.18,0.13,0.05,0.31,0.26,0.31,0.28,0.33,0.13,0.25,0.31,0.22,0.19,0.18,0.17,0.14,0.18,0.3,0.2,0.17,0.2,0.14,0.24,0.27,0.22,0.23,0.24,0.09,0.09,0.18
"elapsed_time_interest",-0.08,0.07,-0.12,0.08,-0.01,0.01,1,0.52,0.34,0.42,0.45,0.1,0.11,0.09,0.2,0.17,0.21,0.16,0,-0.13,0.24,0.08,0.15,-0.03,0.22,0.17,0.35,0.17,0.25,0.38,0.11,-0.19,-0.16,0.11,-0.02,0.02,0.15,0.33
"lap_time_difference_to_other_swimmers_interest",0.12,0.15,0.2,0.03,0.21,0.26,0.52,1,0.59,0.63,0.57,0.48,0.41,0.34,0.32,0.58,0.34,0.17,0.02,0.08,0.27,0.23,0.14,0.16,0.24,0.33,0.55,0.39,0.4,0.42,0.25,-0.05,0.1,0.28,0.09,0.03,0.06,0.32
"average_lap_time_interest",0.05,-0.09,0.17,0.13,0.13,0.18,0.34,0.59,1,0.57,0.4,0.41,0.29,0.36,0.36,0.4,0.12,0.29,0.14,0.24,0.17,0.21,-0.06,0.09,0.43,0.39,0.34,0.26,0.25,0.19,0.17,-0.04,0.06,0.21,0.06,-0.06,-0.03,0.15
"current_lap_time_interest",0.17,0.01,0.19,-0.07,0.17,0.13,0.42,0.63,0.57,1,0.54,0.27,0.11,0.3,0.13,0.33,0.11,0.03,-0.07,0.02,0.02,0.15,0.04,0.16,0.2,0.3,0.39,0.32,0.28,0.12,-0.04,-0.15,0.01,0.12,0.08,0,0.11,0.28
"lap_time_difference_to_a_record_interest",0.13,0.11,0.03,0.09,0.12,0.05,0.45,0.57,0.4,0.54,1,0.3,0.38,0.12,0.25,0.23,0.34,-0.01,0.04,0.14,0.19,0.07,0.35,0.22,0.23,0.4,0.35,0.24,0.37,0.24,0.19,0.12,0.14,0.26,0.04,-0.02,0.02,0.3
"speed_difference_to_other_swimmers_interest",0.14,0.14,0.4,0.17,0.3,0.31,0.1,0.48,0.41,0.27,0.3,1,0.62,0.63,0.45,0.52,0.6,0.35,0.3,0.46,0.37,0.17,0.24,0.48,0.49,0.38,0.49,0.51,0.39,0.36,0.29,0.11,0.21,0.23,0.16,-0.02,0.07,0.22
"speed_differences_to_a_record_interest",0.01,0,0.34,0.15,0.28,0.26,0.11,0.41,0.29,0.11,0.38,0.62,1,0.39,0.63,0.57,0.61,0.33,0.31,0.4,0.33,0.17,0.31,0.49,0.4,0.35,0.47,0.28,0.35,0.34,0.37,0.31,0.14,0.25,0.02,0.14,0.11,0.18
"current_speed",0.03,0.04,0.21,-0.01,0.28,0.31,0.09,0.34,0.36,0.3,0.12,0.63,0.39,1,0.47,0.37,0.42,0.39,0.32,0.37,0.28,0.23,0.07,0.28,0.37,0.35,0.5,0.56,0.46,0.3,0.28,0.12,0.16,0.04,0.03,-0.1,0.04,0.07
"average_speed",-0.23,-0.01,0.24,0.16,0.28,0.28,0.2,0.32,0.36,0.13,0.25,0.45,0.63,0.47,1,0.36,0.45,0.41,0.34,0.33,0.38,0.21,0.23,0.43,0.39,0.23,0.41,0.35,0.32,0.44,0.37,0.21,0.05,0.2,0.08,0.19,0.1,0.2
"history_of_speed",0.01,0.08,0.34,0.07,0.27,0.33,0.17,0.58,0.4,0.33,0.23,0.52,0.57,0.37,0.36,1,0.4,0.36,0.23,0.22,0.41,0.26,0.01,0.24,0.26,0.31,0.44,0.3,0.44,0.31,0.22,0,0.07,0.13,0.05,-0.16,0.13,0.16
"speed_related_events",-0.02,0.2,0.12,0.12,0.1,0.13,0.21,0.34,0.12,0.11,0.34,0.6,0.61,0.42,0.45,0.4,1,0.17,0.26,0.29,0.44,0.22,0.29,0.32,0.23,0.31,0.5,0.43,0.42,0.53,0.34,0.1,0.13,0.21,0.13,0.19,0.12,0.2
"distance_swam",-0.08,-0.03,0.27,0.22,0.31,0.25,0.16,0.17,0.29,0.03,-0.01,0.35,0.33,0.39,0.41,0.36,0.17,1,0.53,0.19,0.3,0.17,-0.13,0.05,0.26,0.24,0.21,0.31,0.27,0.21,0.23,0.02,0.11,0.17,-0.04,-0.04,0.08,0.23
"remaining_distance",0.02,0.15,0.34,0.19,0.3,0.31,0,0.02,0.14,-0.07,0.04,0.3,0.31,0.32,0.34,0.23,0.26,0.53,1,0.46,0.33,0.1,-0.02,0.19,0.08,0.14,0.28,0.29,0.36,0.13,0.32,0.27,0.34,0.26,-0.04,-0.09,0.01,0.06
"distance_difference_to_leader",0.04,0.14,0.25,-0.02,0.15,0.22,-0.13,0.08,0.24,0.02,0.14,0.46,0.4,0.37,0.33,0.22,0.29,0.19,0.46,1,0.29,0.17,0.2,0.28,0.31,0.21,0.22,0.23,0.24,0,0.31,0.3,0.37,0.2,-0.01,-0.1,0.08,0.13
"trace_of_movement",-0.21,0.1,0.12,0.11,0.11,0.19,0.24,0.27,0.17,0.02,0.19,0.37,0.33,0.28,0.38,0.41,0.44,0.3,0.33,0.29,1,0.4,0.03,0.09,0.25,0.16,0.39,0.36,0.4,0.39,0.38,0.07,0.2,0.32,0.19,-0.02,0.15,0.21
"side_by_side_distance",-0.19,-0.12,-0.02,-0.11,0.12,0.18,0.08,0.23,0.21,0.15,0.07,0.17,0.17,0.23,0.21,0.26,0.22,0.17,0.1,0.17,0.4,1,-0.11,0,0.05,0.12,0.19,0.18,0.14,0.23,0.15,-0.05,0.16,-0.09,0.17,-0.09,0.02,0.22
"world_record",0.15,0.36,0.25,0.04,0.28,0.17,0.15,0.14,-0.06,0.04,0.35,0.24,0.31,0.07,0.23,0.01,0.29,-0.13,-0.02,0.2,0.03,-0.11,1,0.45,0.36,0.32,0.23,0.02,0.04,0.29,0.03,0.1,0.02,0.12,0.25,0.27,0.19,0.34
"competition_record",0.09,0.12,0.4,0.2,0.24,0.14,-0.03,0.16,0.09,0.16,0.22,0.48,0.49,0.28,0.43,0.24,0.32,0.05,0.19,0.28,0.09,0,0.45,1,0.34,0.23,0.3,0.24,0.16,0.19,0.15,0.09,0.05,0.16,0.26,0.21,0.14,0.08
"national_record",0.05,0.13,0.24,0.1,0.26,0.18,0.22,0.24,0.43,0.2,0.23,0.49,0.4,0.37,0.39,0.26,0.23,0.26,0.08,0.31,0.25,0.05,0.36,0.34,1,0.52,0.27,0.25,0.25,0.33,0.31,0.16,0.02,0.18,0.28,0.11,0.17,0.24
