"","nationality_interest","name_interest","age_interest","gender_interest","height_interest","weight_interest","elapsed_time_interest","lap_time_difference_to_other_swimmers_interest","average_lap_time_interest","current_lap_time_interest","lap_time_difference_to_a_record_interest","speed_difference_to_other_swimmers_interest","speed_differences_to_a_record_interest","current_speed","average_speed","history_of_speed","speed_related_events","distance_swam","remaining_distance","distance_difference_to_leader","trace_of_movement","side_by_side_distance","world_record","competition_record","national_record","personal_record","distance_per_stroke","reaction_time","diving_distance","stroke_count","next_passing","record_break","winner","estimation_completion_time","social_media_followers","social_media_by_swimmer","sponsor","watching_frequency_grade"
"nationality_interest",1,0.53,0.37,0,0.11,-0.04,0.04,0.15,0.03,0.21,0.17,0.18,0.09,0.07,-0.17,0.04,0.03,-0.05,0.02,0.09,-0.15,-0.18,0.33,0.18,0.1,0.2,0.15,0.17,0.25,0.02,-0.08,-0.04,0.13,-0.08,0.02,-0.12,0.16,0.03
"name_interest",0.53,1,0.32,-0.06,0.13,0.04,0.12,0.2,-0.08,0.08,0.14,0.13,0.04,0.07,0.01,0.1,0.15,0,0.09,0.19,0.11,-0.09,0.38,0.17,0.18,0.16,0.16,0.24,0.25,0.21,0,-0.12,-0.02,0.09,-0.07,-0.08,0.11,0.15
"age_interest",0.37,0.32,1,0.25,0.7,0.64,-0.1,0.29,0.19,0.22,0.12,0.4,0.36,0.22,0.24,0.35,0.11,0.27,0.34,0.26,0.11,-0.02,0.39,0.5,0.25,0.44,0.18,0.14,0.21,0.02,0.1,0.16,0.16,0.29,0.14,0.16,0.18,0.13
"gender_interest",0,-0.06,0.25,1,0.33,0.23,0.04,0.05,0.13,-0.08,0.08,0.23,0.16,0,0.15,0.12,0.13,0.23,0.22,0,0.12,-0.13,0.09,0.22,0.15,0.09,-0.04,-0.03,0,-0.1,-0.01,-0.01,-0.05,0.19,0.21,0.24,0.12,0.12
"height_interest",0.11,0.13,0.7,0.33,1,0.84,-0.02,0.26,0.14,0.18,0.16,0.26,0.29,0.26,0.26,0.27,0.08,0.3,0.29,0.13,0.09,0.13,0.33,0.35,0.27,0.37,0.21,0.17,0.22,0.11,0.12,0.19,0.14,0.2,0.2,0.24,0.08,0.26
"weight_interest",-0.04,0.04,0.64,0.23,0.84,1,-0.02,0.28,0.19,0.12,0.08,0.27,0.27,0.27,0.27,0.31,0.1,0.24,0.3,0.21,0.17,0.2,0.2,0.24,0.17,0.32,0.19,0.16,0.15,0.12,0.23,0.27,0.22,0.25,0.21,0.19,0.11,0.16
"elapsed_time_interest",0.04,0.12,-0.1,0.04,-0.02,-0.02,1,0.48,0.27,0.49,0.43,0.08,0.1,0.14,0.2,0.12,0.22,0.08,-0.05,-0.08,0.17,0.07,0.24,0.03,0.23,0.17,0.37,0.25,0.21,0.42,0.02,-0.27,-0.2,0.07,0.05,0.03,0.26,0.37
"lap_time_difference_to_other_swimmers_interest",0.15,0.2,0.29,0.05,0.26,0.28,0.48,1,0.56,0.6,0.54,0.5,0.45,0.35,0.37,0.61,0.32,0.24,0.06,0.13,0.27,0.22,0.21,0.27,0.29,0.35,0.59,0.46,0.44,0.45,0.22,0,0.11,0.3,0.05,0.05,0.11,0.33
"average_lap_time_interest",0.03,-0.08,0.19,0.13,0.14,0.19,0.27,0.56,1,0.52,0.38,0.39,0.29,0.32,0.39,0.37,0.1,0.3,0.16,0.24,0.18,0.19,-0.02,0.15,0.42,0.41,0.34,0.27,0.24,0.18,0.18,0.01,0.07,0.23,0.05,0.03,0.01,0.17
"current_lap_time_interest",0.21,0.08,0.22,-0.08,0.18,0.12,0.49,0.6,0.52,1,0.53,0.26,0.12,0.34,0.2,0.28,0.13,0.04,-0.08,0.06,0.01,0.14,0.16,0.27,0.22,0.27,0.4,0.37,0.29,0.16,-0.08,-0.16,-0.04,0.07,0.09,0.09,0.18,0.3
"lap_time_difference_to_a_record_interest",0.17,0.14,0.12,0.08,0.16,0.08,0.43,0.54,0.38,0.53,1,0.39,0.44,0.22,0.3,0.27,0.34,0.06,0.11,0.25,0.23,0.09,0.38,0.31,0.29,0.42,0.39,0.33,0.39,0.26,0.21,0.19,0.21,0.27,0.03,-0.06,0.07,0.28
"speed_difference_to_other_swimmers_interest",0.18,0.13,0.4,0.23,0.26,0.27,0.08,0.5,0.39,0.26,0.39,1,0.67,0.57,0.48,0.53,0.6,0.34,0.29,0.45,0.37,0.16,0.29,0.54,0.44,0.38,0.51,0.52,0.41,0.36,0.27,0.16,0.21,0.24,0.1,0.03,0.11,0.23
"speed_differences_to_a_record_interest",0.09,0.04,0.36,0.16,0.29,0.27,0.1,0.45,0.29,0.12,0.44,0.67,1,0.43,0.63,0.6,0.63,0.33,0.32,0.4,0.33,0.14,0.35,0.5,0.4,0.4,0.52,0.34,0.4,0.36,0.38,0.33,0.19,0.25,-0.03,0.1,0.11,0.14
"current_speed",0.07,0.07,0.22,0,0.26,0.27,0.14,0.35,0.32,0.34,0.22,0.57,0.43,1,0.52,0.35,0.45,0.4,0.31,0.34,0.29,0.23,0.12,0.34,0.34,0.36,0.51,0.56,0.49,0.31,0.27,0.11,0.14,0.02,0.01,-0.02,0.05,0.1
"average_speed",-0.17,0.01,0.24,0.15,0.26,0.27,0.2,0.37,0.39,0.2,0.3,0.48,0.63,0.52,1,0.37,0.44,0.38,0.33,0.33,0.36,0.17,0.25,0.44,0.4,0.28,0.41,0.38,0.33,0.41,0.38,0.21,0.07,0.2,0.1,0.18,0.12,0.17
"history_of_speed",0.04,0.1,0.35,0.12,0.27,0.31,0.12,0.61,0.37,0.28,0.27,0.53,0.6,0.35,0.37,1,0.45,0.37,0.24,0.22,0.4,0.29,0.02,0.32,0.25,0.3,0.47,0.31,0.45,0.33,0.24,0.01,0.08,0.16,0,-0.08,0.13,0.13
"speed_related_events",0.03,0.15,0.11,0.13,0.08,0.1,0.22,0.32,0.1,0.13,0.34,0.6,0.63,0.45,0.44,0.45,1,0.17,0.26,0.3,0.42,0.2,0.24,0.33,0.23,0.27,0.52,0.44,0.46,0.54,0.34,0.07,0.15,0.2,0.12,0.16,0.19,0.18
"distance_swam",-0.05,0,0.27,0.23,0.3,0.24,0.08,0.24,0.3,0.04,0.06,0.34,0.33,0.4,0.38,0.37,0.17,1,0.53,0.18,0.27,0.17,-0.11,0.09,0.25,0.24,0.16,0.32,0.25,0.16,0.22,0.04,0.1,0.19,-0.06,-0.03,0.06,0.17
"remaining_distance",0.02,0.09,0.34,0.22,0.29,0.3,-0.05,0.06,0.16,-0.08,0.11,0.29,0.32,0.31,0.33,0.24,0.26,0.53,1,0.46,0.32,0.08,0.02,0.22,0.09,0.18,0.25,0.29,0.33,0.13,0.32,0.3,0.33,0.27,-0.04,-0.09,-0.01,0.03
"distance_difference_to_leader",0.09,0.19,0.26,0,0.13,0.21,-0.08,0.13,0.24,0.06,0.25,0.45,0.4,0.34,0.33,0.22,0.3,0.18,0.46,1,0.29,0.1,0.23,0.27,0.29,0.2,0.25,0.23,0.24,0.02,0.33,0.3,0.37,0.19,0.01,-0.06,0.04,0.11
"trace_of_movement",-0.15,0.11,0.11,0.12,0.09,0.17,0.17,0.27,0.18,0.01,0.23,0.37,0.33,0.29,0.36,0.4,0.42,0.27,0.32,0.29,1,0.43,0.02,0.11,0.26,0.19,0.39,0.36,0.38,0.39,0.39,0.06,0.2,0.34,0.18,-0.03,0.2,0.19
"side_by_side_distance",-0.18,-0.09,-0.02,-0.13,0.13,0.2,0.07,0.22,0.19,0.14,0.09,0.16,0.14,0.23,0.17,0.29,0.2,0.17,0.08,0.1,0.43,1,-0.18,0.05,0.05,0.16,0.2,0.2,0.15,0.25,0.17,-0.07,0.15,-0.04,0.18,-0.03,0.06,0.18
"world_record",0.33,0.38,0.39,0.09,0.33,0.2,0.24,0.21,-0.02,0.16,0.38,0.29,0.35,0.12,0.25,0.02,0.24,-0.11,0.02,0.23,0.02,-0.18,1,0.56,0.33,0.35,0.25,0.08,0.08,0.25,-0.02,0.17,0.08,0.11,0.25,0.24,0.24,0.32
"competition_record",0.18,0.17,0.5,0.22,0.35,0.24,0.03,0.27,0.15,0.27,0.31,0.54,0.5,0.34,0.44,0.32,0.33,0.09,0.22,0.27,0.11,0.05,0.56,1,0.33,0.33,0.35,0.28,0.22,0.24,0.12,0.16,0.07,0.16,0.23,0.17,0.16,0.1
"national_record",0.1,0.18,0.25,0.15,0.27,0.17,0.23,0.29,0.42,0.22,0.29,0.44,0.4,0.34,0.4,0.25,0.23,0.25,0.09,0.29,0.26,0.05,0.33,0.33,1,0.54,0.28,0.29,0.26,0.33,0.31,0.15,0.02,0.19,0.28,0.2,0.19,0.24
"personal_record",0.2,0.16,0.44,0.09,0.37,0.32,0.17,0.35,0.41,0.27,0.42,0.38,0.4,0.36,0.28,0.3,0.27,0.24,0.18,0.2,0.19,0.16,0.35,0.33,0.54,1,0.37,0.3,0.36,0.31,0.38,0.29,0.15,0.29,0.18,0.1,0.23,0.24
"distance_per_stroke",0.15,0.16,0.18,-0.04,0.21,0.19,0.37,0.59,0.34,0.4,0.39,0.51,0.52,0.51,0.41,0.47,0.52,0.16,0.25,0.25,0.39,0.2,0.25,0.35,0.28,0.37,1,0.68,0.68,0.69,0.39,0.15,0.15,0.27,0.08,0.14,0.18,0.18
"reaction_time",0.17,0.24,0.14,-0.03,0.17,0.16,0.25,0.46,0.27,0.37,0.33,0.52,0.34,0.56,0.38,0.31,0.44,0.32,0.29,0.23,0.36,0.2,0.08,0.28,0.29,0.3,0.68,1,0.68,0.58,0.22,0.02,0.01,0.12,-0.01,-0.06,0.14,0.08
"diving_distance",0.25,0.25,0.21,0,0.22,0.15,0.21,0.44,0.24,0.29,0.39,0.41,0.4,0.49,0.33,0.45,0.46,0.25,0.33,0.24,0.38,0.15,0.08,0.22,0.26,0.36,0.68,0.68,1,0.54,0.19,0.11,0.07,0.17,0.02,-0.12,0.15,0.15
"stroke_count",0.02,0.21,0.02,-0.1,0.11,0.12,0.42,0.45,0.18,0.16,0.26,0.36,0.36,0.31,0.41,0.33,0.54,0.16,0.13,0.02,0.39,0.25,0.25,0.24,0.33,0.31,0.69,0.58,0.54,1,0.28,0.04,-0.03,0.13,0.13,0.09,0.29,0.2
"next_passing",-0.08,0,0.1,-0.01,0.12,0.23,0.02,0.22,0.18,-0.08,0.21,0.27,0.38,0.27,0.38,0.24,0.34,0.22,0.32,0.33,0.39,0.17,-0.02,0.12,0.31,0.38,0.39,0.22,0.19,0.28,1,0.47,0.53,0.52,0.18,0.22,0.14,0.08
"record_break",-0.04,-0.12,0.16,-0.01,0.19,0.27,-0.27,0,0.01,-0.16,0.19,0.16,0.33,0.11,0.21,0.01,0.07,0.04,0.3,0.3,0.06,-0.07,0.17,0.16,0.15,0.29,0.15,0.02,0.11,0.04,0.47,1,0.67,0.49,0.12,0.09,0,-0.22
"winner",0.13,-0.02,0.16,-0.05,0.14,0.22,-0.2,0.11,0.07,-0.04,0.21,0.21,0.19,0.14,0.07,0.08,0.15,0.1,0.33,0.37,0.2,0.15,0.08,0.07,0.02,0.15,0.15,0.01,0.07,-0.03,0.53,0.67,1,0.48,0.09,-0.08,0.02,-0.04
"estimation_completion_time",-0.08,0.09,0.29,0.19,0.2,0.25,0.07,0.3,0.23,0.07,0.27,0.24,0.25,0.02,0.2,0.16,0.2,0.19,0.27,0.19,0.34,-0.04,0.11,0.16,0.19,0.29,0.27,0.12,0.17,0.13,0.52,0.49,0.48,1,0.14,0.2,0.14,0.02
"social_media_followers",0.02,-0.07,0.14,0.21,0.2,0.21,0.05,0.05,0.05,0.09,0.03,0.1,-0.03,0.01,0.1,0,0.12,-0.06,-0.04,0.01,0.18,0.18,0.25,0.23,0.28,0.18,0.08,-0.01,0.02,0.13,0.18,0.12,0.09,0.14,1,0.59,0.51,0.28
"social_media_by_swimmer",-0.12,-0.08,0.16,0.24,0.24,0.19,0.03,0.05,0.03,0.09,-0.06,0.03,0.1,-0.02,0.18,-0.08,0.16,-0.03,-0.09,-0.06,-0.03,-0.03,0.24,0.17,0.2,0.1,0.14,-0.06,-0.12,0.09,0.22,0.09,-0.08,0.2,0.59,1,0.36,0.32
"sponsor",0.16,0.11,0.18,0.12,0.08,0.11,0.26,0.11,0.01,0.18,0.07,0.11,0.11,0.05,0.12,0.13,0.19,0.06,-0.01,0.04,0.2,0.06,0.24,0.16,0.19,0.23,0.18,0.14,0.15,0.29,0.14,0,0.02,0.14,0.51,0.36,1,0.37
"watching_frequency_grade",0.03,0.15,0.13,0.12,0.26,0.16,0.37,0.33,0.17,0.3,0.28,0.23,0.14,0.1,0.17,0.13,0.18,0.17,0.03,0.11,0.19,0.18,0.32,0.1,0.24,0.24,0.18,0.08,0.15,0.2,0.08,-0.22,-0.04,0.02,0.28,0.32,0.37,1
