"","X","participant_id","Date.submitted","Last.page","Start.language","Seed","Date.started","Date.last.action","Please.select.your.choice.below..Clicking.on.the..Yes..button.below.indicates.that..U.00A0...You.have.read.the.above.information..You.voluntarily.agree.to.participate.","participants_gender","participants_gender_other","participants_age_range","participants_living_region","participants_living_region_other","olympics_frequency","international_frequency","continental_frequency","national_frequency","regional_frequency","other_race_name_1","other_race_frequency_1","other_race_name_2","other_race_frequency_2","other_race_name_3","other_race_frequency_3","other_race_name_4","other_race_frequency_4","other_race_name_5","other_race_frequency_5","have_seen_moving_info","nationality_interest","name_interest","age_interest","gender_interest","height_interest","weight_interest","elapsed_time_interest","lap_time_difference_to_other_swimmers_interest","average_lap_time_interest","current_lap_time_interest","lap_time_difference_to_a_record_interest","speed_difference_to_other_swimmers_interest","speed_differences_to_a_record_interest","current_speed","average_speed","history_of_speed","speed_related_events","distance_swam","remaining_distance","distance_difference_to_leader","trace_of_movement","side_by_side_distance","world_record","competition_record","national_record","personal_record","distance_per_stroke","reaction_time","diving_distance","stroke_count","next_passing","record_break","winner","estimation_completion_time","social_media_followers","social_media_by_swimmer","sponsor","other_data_name_1","other_data_interest_1","other_data_name_2","other_data_interest_2","other_data_name_3","other_data_interest_3","other_data_name_4","other_data_interest_4","other_data_name_5","other_data_interest_5","other_data_name_6","other_data_interest_6","other_data_name_7","other_data_interest_7","other_data_name_8","other_data_interest_8","other_data_name_9","other_data_interest_9","other_data_name_10","other_data_interest_10","other_data_name_11","other_data_interest_11","other_data_name_12","other_data_interest_12","other_data_name_13","other_data_interest_13","other_data_name_14","other_data_interest_14","other_data_name_15","other_data_interest_15","other_data_name_16","other_data_interest_16","other_data_name_17","other_data_interest_17","other_data_name_18","other_data_interest_18","other_data_name_19","other_data_interest_19","other_data_name_20","other_data_interest_20","general_comment","Total.time","Group.time..Consent.Form","Question.time..ConsentFormAgree","Group.time..Demographic.Questions","Question.time..GenderIdentification","Question.time..AgeRange","Question.time..AreaLiving","Group.time..Familiarity.with.Swimming","Question.time..WatchingFrequency","Question.time..EventExtension","Group.time..Background.Introduction","Question.time..BackgroundQuestion","Group.time..Main.Task","Question.time..SwimmerMetadata","Question.time..TimeDetail","Question.time..SpeedDetail","Question.time..DistanceDetail","Question.time..RecordDetail","Question.time..TechniqueDetail","Question.time..PredictionDetail","Question.time..ExternalDetail","Group.time..Supplementary.Interesting.Data..Optional.","Question.time..Other","Group.time..General.Comment..Optional.","Question.time..GeneralComment","watching_frequency_grade"
"1",1,1,"2022-02-22 15:28:25",7,"en",656772708,"2022-02-22 15:24:33","2022-02-22 15:28:25","Yes","Woman",NA,"25-34","Europe",NA,"3","1","1","2","0","","Did not select","","Did not select","","Did not select","","Did not select","","Did not select","Yes","5","4","3","3","3","3","5","4","5","4","5","5","5","4","3","4","4","3","3","4","4","2","5","5","5","5","5","5","4","4","5","5","5","5","3","2","2","heart beat","4","breath","Slightly interetsed","","Did not select","","Did not select","","Did not select","","Did not select","","Did not select","","Did not select",NA,"Did not select",NA,"Did not select",NA,"Did not select",NA,"Did not select",NA,"Did not select",NA,"Did not select",NA,"Did not select",NA,"Did not select",NA,"Did not select",NA,"Did not select",NA,"Did not select",NA,"Did not select","Super Clear",236.93,4.34,NA,6.07,NA,NA,NA,10.62,NA,NA,8.02,NA,143.39,NA,NA,NA,NA,NA,NA,NA,NA,44.92,NA,19.57,NA,7
"2",2,8,"2022-02-25 04:29:27",7,"en",1887220246,"2022-02-25 04:25:40","2022-02-25 04:29:27","Yes","Man",NA,"18-24","Asia",NA,"1","0","0","0","0","","Did not select","","Did not select","","Did not select","","Did not select","","Did not select","Yes","5","5","2","1","1","1","1","1","1","1","1","1","1","1","1","2","2","1","2","5","1","1","5","3","1","2","1","3","1","1","3","3","5","1","1","1","1","","Did not select","","Did not select","","Did not select","","Did not select","","Did not select","","Did not select","","Did not select","","Did not select",NA,"Did not select",NA,"Did not select",NA,"Did not select",NA,"Did not select",NA,"Did not select",NA,"Did not select",NA,"Did not select",NA,"Did not select",NA,"Did not select",NA,"Did not select",NA,"Did not select",NA,"Did not select","",232.13,4.95,NA,14.57,NA,NA,NA,45.92,NA,NA,22.78,NA,116.62,NA,NA,NA,NA,NA,NA,NA,NA,19.84,NA,7.45,NA,1
"3",3,24,"2022-02-25 13:34:03",7,"en",1520481558,"2022-02-25 13:27:09","2022-02-25 13:34:03","Yes","Man",NA,"25-34","Asia",NA,"1","1","1","1","1","","Did not select","","Did not select","","Did not select","","Did not select","","Did not select","No","3","3","2","2","2","3","3","3","3","3","3","4","4","4","2","2","4","2","3","4","2","1","4","4","3","3","4","4","2","2","3","4","4","3","0","3","0","","Did not select","","Did not select","","Did not select","","Did not select","","Did not select","","Did not select","","Did not select","","Did not select",NA,"Did not select",NA,"Did not select",NA,"Did not select",NA,"Did not select",NA,"Did not select",NA,"Did not select",NA,"Did not select",NA,"Did not select",NA,"Did not select",NA,"Did not select",NA,"Did not select",NA,"Did not select","",415.49,71.24,NA,15.39,NA,NA,NA,52.06,NA,NA,29.1,NA,158.3,NA,NA,NA,NA,NA,NA,NA,NA,62.27,NA,27.13,NA,5
"4",4,28,"2022-02-25 14:43:48",7,"en",1430866974,"2022-02-25 14:37:29","2022-02-25 14:43:48","Yes","Man",NA,"25-34","Europe",NA,"2","1","1","1","0","","Did not select","","Did not select","","Did not select","","Did not select","","Did not select","Yes","5","2","5","4","4","4","3","4","4","4","5","5","5","4","1","4","3","2","4","5","3","1","5","4","2","5","5","3","4","0","2","5","5","4","1","1","1","the winner record for every match in history","5","","Did not select","","Did not select","","Did not select","","Did not select","","Did not select","","Did not select","","Did not select",NA,"Did not select",NA,"Did not select",NA,"Did not select",NA,"Did not select",NA,"Did not select",NA,"Did not select",NA,"Did not select",NA,"Did not select",NA,"Did not select",NA,"Did not select",NA,"Did not select",NA,"Did not select","",382.89,183.09,NA,14.96,NA,NA,NA,44.73,NA,NA,9.09,NA,84.98,NA,NA,NA,NA,NA,NA,NA,NA,37.74,NA,8.3,NA,5
"5",5,29,"2022-02-25 14:50:20",7,"en",1343515990,"2022-02-25 14:42:04","2022-02-25 14:50:20","Yes","Man",NA,"25-34","Asia",NA,"1","0","1","0","0","","Did not select","","Did not select","","Did not select","","Did not select","","Did not select","Yes","4","4","3","1","2","2","3","2","2","3","4","3","4","3","2","0","5","3","5","5","1","1","5","4","2","4","4","4","3","3","4","5","5","4","1","3","2","","Did not select","","Did not select","","Did not select","","Did not select","","Did not select","","Did not select","","Did not select","","Did not select",NA,"Did not select",NA,"Did not select",NA,"Did not select",NA,"Did not select",NA,"Did not select",NA,"Did not select",NA,"Did not select",NA,"Did not select",NA,"Did not select",NA,"Did not select",NA,"Did not select",NA,"Did not select","",500.1,9.26,NA,7.41,NA,NA,NA,17.85,NA,NA,59.89,NA,383.75,NA,NA,NA,NA,NA,NA,NA,NA,18.28,NA,3.66,NA,2
"6",6,30,"2022-02-25 15:02:02",7,"en",1130570594,"2022-02-25 14:51:53","2022-02-25 15:02:02","Yes","Man",NA,"18-24","Asia",NA,"2","1","0","1","0","","Did not select","","Did not select","","Did not select","","Did not select","","Did not select","Yes","5","5","3","1","2","2","4","4","2","2","2","3","4","4","2","3","4","3","5","5","3","5","3","3","2","2","4","4","4","4","3","4","5","1","1","1","1","The strokes used in each stage of the medley","5","","Did not select","","Did not select","","Did not select","","Did not select","","Did not select","","Did not select","","Did not select",NA,"Did not select",NA,"Did not select",NA,"Did not select",NA,"Did not select",NA,"Did not select",NA,"Did not select",NA,"Did not select",NA,"Did not select",NA,"Did not select",NA,"Did not select",NA,"Did not select",NA,"Did not select","",611.1,59.07,NA,51.97,NA,NA,NA,39.18,NA,NA,40.5,NA,174.87,NA,NA,NA,NA,NA,NA,NA,NA,239.03,NA,6.48,NA,4
"7",7,39,"2022-03-08 13:49:48",7,"en",282235566,"2022-03-08 13:42:41","2022-03-08 13:49:48","Yes","Woman",NA,"25-34","Asia",NA,"0","0","0","0","0","","Did not select","","Did not select","","Did not select","","Did not select","","Did not select","Yes","4","3","4","4","3","3","4","4","4","4","4","4","4","4","4","4","4","4","4","4","2","1","1","4","1","4","4","5","5","2","4","4","4","4","1","1","1","","Did not select","","Did not select","","Did not select","","Did not select","","Did not select","","Did not select","","Did not select","","Did not select",NA,"Did not select",NA,"Did not select",NA,"Did not select",NA,"Did not select",NA,"Did not select",NA,"Did not select",NA,"Did not select",NA,"Did not select",NA,"Did not select",NA,"Did not select",NA,"Did not select",NA,"Did not select","",430.1,11.57,NA,15.04,NA,NA,NA,30.12,NA,NA,34.76,NA,321.67,NA,NA,NA,NA,NA,NA,NA,NA,13.07,NA,3.87,NA,0
"8",8,41,"2022-04-15 10:43:16",7,"en",1068433393,"2022-04-15 10:35:15","2022-04-15 10:43:16","Yes","Man",NA,"35-44","Europe",NA,"1","0","0","0","0","","Did not select","","Did not select","","Did not select","","Did not select","","Did not select","Yes","4","4","3","4","2","2","5","3","4","4","4","4","2","2","2","3","4","2","4","4","2","1","4","3","4","3","2","3","2","3","3","3","4","4","1","1","1","Improvement compared to PB","4","Relevant doping history","4","Strokes per lap","Slightly interetsed","","Did not select","","Did not select","","Did not select","","Did not select","","Did not select",NA,"Did not select",NA,"Did not select",NA,"Did not select",NA,"Did not select",NA,"Did not select",NA,"Did not select",NA,"Did not select",NA,"Did not select",NA,"Did not select",NA,"Did not select",NA,"Did not select",NA,"Did not select","",483.92,17.38,NA,15.71,NA,NA,NA,21.09,NA,NA,23.14,NA,225.42,NA,NA,NA,NA,NA,NA,NA,NA,166.03,NA,15.15,NA,1
"9",9,42,"2022-04-15 10:55:47",7,"en",894041753,"2022-04-15 10:51:39","2022-04-15 10:55:47","Yes","Man",NA,"35-44","Europe",NA,"1","1","0","0","0","Olympic","1","","Did not select","","Did not select","","Did not select","","Did not select","Yes","3","4","1","1","1","1","5","4","2","2","4","1","1","1","1","1","3","3","3","2","1","1","4","2","1","3","4","4","3","5","2","4","4","5","1","1","1","","Did not select","","Did not select","","Did not select","","Did not select","","Did not select","","Did not select","","Did not select","","Did not select",NA,"Did not select",NA,"Did not select",NA,"Did not select",NA,"Did not select",NA,"Did not select",NA,"Did not select",NA,"Did not select",NA,"Did not select",NA,"Did not select",NA,"Did not select",NA,"Did not select",NA,"Did not select","",251.4,9.91,NA,10.69,NA,NA,NA,52.59,NA,NA,36.65,NA,129.54,NA,NA,NA,NA,NA,NA,NA,NA,8.01,NA,4.01,NA,2
"10",10,46,"2022-04-15 13:58:55",7,"en",2097694636,"2022-04-15 13:52:16","2022-04-15 13:58:55","Yes","Man",NA,"25-34","Europe",NA,"1","2","2","2","2","","Did not select","","Did not select","","Did not select","","Did not select","","Did not select","Yes","3","3","3","3","3","3","3","3","3","3","2","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","3","3","3","3","3","3","3","3","2","2","2","","Did not select","","Did not select","","Did not select","","Did not select","","Did not select","","Did not select","","Did not select","","Did not select",NA,"Did not select",NA,"Did not select",NA,"Did not select",NA,"Did not select",NA,"Did not select",NA,"Did not select",NA,"Did not select",NA,"Did not select",NA,"Did not select",NA,"Did not select",NA,"Did not select",NA,"Did not select","",402.38,14.6,NA,21.45,NA,NA,NA,268.55,NA,NA,28.19,NA,58.13,NA,NA,NA,NA,NA,NA,NA,NA,7.59,NA,3.87,NA,9
