"","nationality_interest","name_interest","age_interest","gender_interest","height_interest","weight_interest","elapsed_time_interest","lap_time_difference_to_other_swimmers_interest","average_lap_time_interest","current_lap_time_interest","lap_time_difference_to_a_record_interest","speed_difference_to_other_swimmers_interest","speed_differences_to_a_record_interest","current_speed","average_speed","history_of_speed","speed_related_events","distance_swam","remaining_distance","distance_difference_to_leader","trace_of_movement","side_by_side_distance","world_record","competition_record","national_record","personal_record","distance_per_stroke","reaction_time","diving_distance","stroke_count","next_passing","record_break","winner","estimation_completion_time","social_media_followers","social_media_by_swimmer","sponsor","watching_frequency_grade"
"1",5,4,3,3,3,3,5,4,5,4,5,5,5,4,3,4,4,3,3,4,4,2,5,5,5,5,5,5,4,4,5,5,5,5,3,2,2,7
"2",5,5,2,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,2,5,1,1,5,3,1,2,1,3,1,1,3,3,5,1,1,1,1,1
"3",3,3,2,2,2,3,3,3,3,3,3,4,4,4,2,2,4,2,3,4,2,1,4,4,3,3,4,4,2,2,3,4,4,3,0,3,0,5
"4",5,2,5,4,4,4,3,4,4,4,5,5,5,4,1,4,3,2,4,5,3,1,5,4,2,5,5,3,4,0,2,5,5,4,1,1,1,5
"5",4,4,3,1,2,2,3,2,2,3,4,3,4,3,2,0,5,3,5,5,1,1,5,4,2,4,4,4,3,3,4,5,5,4,1,3,2,2
"6",5,5,3,1,2,2,4,4,2,2,2,3,4,4,2,3,4,3,5,5,3,5,3,3,2,2,4,4,4,4,3,4,5,1,1,1,1,4
"7",4,3,4,4,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2,1,1,4,1,4,4,5,5,2,4,4,4,4,1,1,1,0
"8",4,4,3,4,2,2,5,3,4,4,4,4,2,2,2,3,4,2,4,4,2,1,4,3,4,3,2,3,2,3,3,3,4,4,1,1,1,1
"9",3,4,1,1,1,1,5,4,2,2,4,1,1,1,1,1,3,3,3,2,1,1,4,2,1,3,4,4,3,5,2,4,4,5,1,1,1,2
"10",3,3,3,3,3,3,3,3,3,3,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,2,2,2,9
"11",5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,3,3,3,3,3,3,3,13
"12",5,5,3,0,1,1,5,4,2,5,4,3,2,1,1,4,4,1,1,1,3,2,5,4,3,4,4,4,2,5,1,1,1,1,1,1,2,5
"13",5,3,2,2,3,1,5,4,2,5,5,3,1,3,2,1,2,2,3,2,1,1,5,4,2,1,4,4,4,3,1,1,2,1,2,2,1,8
"14",3,1,2,1,3,1,4,3,3,4,4,4,4,4,3,2,1,3,2,4,1,1,4,4,5,5,3,1,1,2,3,5,4,3,1,2,1,1
"15",4,4,1,1,1,1,4,1,1,1,4,1,1,1,1,1,1,1,1,4,1,1,5,3,4,3,1,1,3,1,1,3,3,1,1,1,1,5
"16",4,4,3,2,3,2,5,4,4,4,3,4,4,4,3,4,4,3,3,3,1,1,5,4,2,4,4,4,4,3,1,2,1,2,1,3,2,7
"17",5,5,2,2,2,1,5,5,3,5,4,5,4,4,3,4,5,2,1,3,2,1,5,4,5,3,5,4,5,5,2,3,3,4,2,3,2,9
"18",3,3,3,3,3,3,4,2,2,3,2,1,1,2,1,1,1,1,1,1,1,1,2,2,1,2,1,2,2,1,1,2,1,1,1,1,1,0
"19",3,2,3,1,3,3,5,5,4,5,3,1,4,1,5,5,1,1,1,2,0,2,5,5,2,3,5,2,3,5,1,4,1,1,1,3,1,3
"20",2,4,2,2,4,4,4,4,4,4,4,2,2,3,1,4,1,3,3,4,1,2,4,4,4,4,3,3,3,3,4,4,4,4,1,1,1,6
"21",5,5,5,1,3,1,0,0,0,5,5,1,1,1,1,1,1,1,3,4,1,1,5,5,1,5,3,4,5,1,0,5,4,4,1,1,1,3
"22",1,5,5,1,5,5,3,0,0,0,0,5,5,4,5,4,4,5,5,5,5,1,5,5,5,1,4,5,4,4,2,4,2,2,1,1,1,2
"23",2,4,2,5,1,0,5,2,0,0,4,0,4,0,5,0,4,3,3,2,4,0,5,4,0,1,2,2,2,3,3,3,1,5,1,5,1,6
"24",3,3,2,2,1,1,4,4,3,3,4,4,4,2,2,4,3,4,4,4,3,2,3,2,4,5,3,5,4,4,2,4,1,1,1,1,1,4
"25",4,4,4,2,4,4,4,5,1,2,4,5,5,3,3,5,5,1,5,4,5,1,5,5,1,1,5,5,5,5,2,5,4,5,1,1,1,2
"26",4,3,4,4,4,4,2,3,2,3,3,5,4,4,2,5,5,4,4,4,2,2,4,4,2,4,2,4,4,2,0,4,4,4,1,1,1,1
"27",5,5,5,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,1,5,5,5,5,5,5,5,5,4,4,4,4,1,1,1,8
"28",3,5,3,2,5,3,4,4,2,4,4,4,3,5,4,2,2,4,5,5,3,2,5,4,4,4,3,5,4,3,3,5,3,4,1,2,1,7
"29",4,4,4,4,4,4,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1,4,4,3,2,3,2,2,1,2,2,4
"30",3,3,4,3,4,4,5,5,5,5,5,5,5,5,5,5,5,4,5,5,5,3,5,5,5,5,5,5,5,5,2,2,2,2,1,1,1,5
"31",5,5,5,0,3,3,5,5,5,5,5,5,4,5,5,3,4,3,3,4,2,2,5,5,4,5,3,4,4,3,2,2,2,3,1,1,1,3
"32",5,5,5,1,3,2,0,3,1,3,2,3,3,3,1,3,3,1,1,3,1,1,5,4,3,4,1,3,2,3,1,1,1,1,3,3,2,6
"33",4,4,1,1,1,1,2,2,4,3,4,4,3,4,3,3,4,1,4,4,3,1,4,4,4,4,5,5,5,5,4,4,1,1,2,2,1,1
"34",4,5,4,4,4,4,4,3,4,4,4,3,2,4,4,2,3,1,4,5,3,1,5,5,4,5,3,4,3,3,4,5,5,5,2,2,2,4
"35",5,5,4,1,4,4,5,5,3,5,5,4,5,5,4,5,4,2,2,5,1,1,5,4,4,4,5,5,4,2,3,4,1,1,1,2,1,3
"36",4,4,1,1,1,1,4,4,3,4,4,2,2,3,1,3,1,3,1,2,1,1,4,4,1,1,1,4,2,3,1,1,1,1,1,1,1,1
